s_company_id,s_company_name,investor_id,investor_name
51261-67,Airbnb,40420-36,Y CombinatorCapital
51261-67,Airbnb,54172-81,Plug and Play Tech Center
51261-67,Airbnb,58004-02,Bpifrance
51261-67,Airbnb,51322-24,SOSV
51261-67,Airbnb,40380-31,Keiretsu Forum
51261-67,Airbnb,10066-15,Kohlberg Kravis Roberts
51261-67,Airbnb,11215-54,IDG Capital
51261-67,Airbnb,51022-00,Kima Ventures
51261-67,Airbnb,42282-46,Enterprise Ireland
51261-67,Airbnb,56157-94,Start Up Chile
51261-67,Airbnb,10014-49,Blackstone
55446-58,Instacart,54172-81,Plug and Play Tech Center
55446-58,Instacart,58004-02,Bpifrance
55446-58,Instacart,51322-24,SOSV
55446-58,Instacart,40380-31,Keiretsu Forum
55446-58,Instacart,10066-15,Kohlberg Kravis Roberts
55446-58,Instacart,11215-54,IDG Capital
55446-58,Instacart,51022-00,Kima Ventures
55446-58,Instacart,42282-46,Enterprise Ireland
55446-58,Instacart,56157-94,Start Up Chile
55446-58,Instacart,10014-49,Blackstone
55446-58,Instacart,11251-81,New Enterprise Associates
169143-76,Waymo,40420-36,Y Combinator
169143-76,Waymo,54172-81,Plug and Play Tech Center
169143-76,Waymo,58004-02,Bpifrance
169143-76,Waymo,51322-24,SOSV
169143-76,Waymo,40380-31,Keiretsu Forum
169143-76,Waymo,10066-15,Kohlberg Kravis Roberts
169143-76,Waymo,11215-54,IDG Capital
169143-76,Waymo,51022-00,Kima Ventures
169143-76,Waymo,42282-46,Enterprise Ireland
169143-76,Waymo,56157-94,Start Up Chile
169143-76,Waymo,10014-49,Blackstone
